eBird/Clements Name,Macaulay Audio Total,GenBank species,GB_Nucleotide_Seqs
Anabacerthia amaurotis,21,Anabacerthia amaurotis,5
Anabacerthia lichtensteini,64,Anabacerthia lichtensteini,10
Anabacerthia ruficaudata,33,Anabacerthia ruficaudata,6
Anabacerthia striaticollis,63,Anabacerthia striaticollis,11
Anabacerthia variegaticeps,71,Anabacerthia variegaticeps,7
Anabathmis hartlaubii,3,Anabathmis hartlaubii,3
Anabathmis newtonii,4,Anabathmis newtonii,6
Anabathmis reichenbachii,6,Anabathmis reichenbachii,5
Anabazenops dorsalis,69,Anabazenops dorsalis,4
Anabazenops fuscus,69,Anabazenops fuscus,14
Anairetes alpinus,16,Anairetes alpinus,14
Anairetes fernandezianus,8,Anairetes fernandezianus,2
Anairetes flavirostris,33,Anairetes flavirostris,44
Anairetes nigrocristatus,12,Anairetes nigrocristatus,79
Anairetes parulus,103,Anairetes parulus,39
Anairetes reguloides,28,Anairetes reguloides,219
Analisoma analis,5,Analisoma analis,3
Analisoma coerulescens,5,Analisoma coerulescens,8
Analisoma ostenta,3,Analisoma ostenta,3
Anaplectes rubriceps,5,Anaplectes rubriceps,7
Anarhynchus frontalis,8,Anarhynchus frontalis,16
Anas acuta,129,Anas acuta,1311
