Xeno-canto Matched to eBird/Clements,No.Recordings,GenBank species,GB_Nucleotide_Seqs
Anarhynchus frontalis,10,Anarhynchus frontalis,16
Anas acuta,80,Anas acuta,1311
Anas albogularis,5,Anas albogularis,0
Anas andium,24,Anas andium,3
Anas aucklandica,0,Anas aucklandica,5
Anas bahamensis,7,Anas bahamensis,38
Anas bernieri,1,Anas bernieri,9
Anas capensis,4,Anas capensis,2
Anas castanea,5,Anas castanea,582
Anas chlorotis,2,Anas chlorotis,134
Anas crecca,391,Anas crecca,1825
Anas diazi,24,Anas diazi,577
Anas eatoni,0,Anas eatoni,0
Anas erythrorhyncha,5,Anas erythrorhyncha,2
Anas flavirostris,43,Anas flavirostris,1179
Anas fulvigula,16,Anas fulvigula,2645
Anas georgica,40,Anas georgica,1289
Anas gibberifrons,8,Anas gibberifrons,4
Anas gracilis,16,Anas gracilis,1172
Anas laysanensis,13,Anas laysanensis,463
Anas luzonica,4,Anas luzonica,114
Anas melleri,4,Anas melleri,24
Anas nesiotis,4,Anas nesiotis,6
Anas platyrhynchos,590,Anas platyrhynchos,67718
Anas poecilorhyncha,27,Anas poecilorhyncha,142
Anas rubripes,16,Anas rubripes,652
Anas sparsa,7,Anas sparsa,24
Anas superciliosa,22,Anas superciliosa,273
Anas theodori,0,Anas theodori,0
Anas undulata,30,Anas undulata,766
Anas wyvilliana,6,Anas wyvilliana,451
Anas zonorhyncha,26,Anas zonorhyncha,201
Anastomus lamelligerus,1,Anastomus lamelligerus,0
Anastomus oscitans,4,Anastomus oscitans,18
Ancistrops strigilatus,30,Ancistrops strigilatus,9
Andigena cucullata,13,Andigena cucullata,15
Andigena hypoglauca,53,Andigena hypoglauca,11
Andigena laminirostris,65,Andigena laminirostris,8
Andigena nigrirostris,111,Andigena nigrirostris,4
Androdon aequatorialis,37,Androdon aequatorialis,7
Andropadus importunus,198,Andropadus importunus,16
Androphobus viridis,1,Androphobus viridis,1
Anhima cornuta,72,Anhima cornuta,14
Anhinga anhinga,51,Anhinga anhinga,57
Anhinga melanogaster,12,Anhinga melanogaster,10
Anhinga novaehollandiae,11,Anhinga novaehollandiae,9
Anhinga rufa,8,Anhinga rufa,9
Anisognathus igniventris,149,Anisognathus igniventris,4
Anisognathus lacrymosus,72,Anisognathus lacrymosus,5
Anisognathus melanogenys,12,Anisognathus melanogenys,2
Anisognathus notabilis,27,Anisognathus notabilis,3
Anisognathus somptuosus,59,Anisognathus somptuosus,9
Anodorhynchus glaucus,0,Anodorhynchus glaucus,0
Anodorhynchus hyacinthinus,76,Anodorhynchus hyacinthinus,221
Anodorhynchus leari,41,Anodorhynchus leari,38
Anomalospiza imberbis,6,Anomalospiza imberbis,28
Anopetia gounellei,8,Anopetia gounellei,2
Anorrhinus austeni,8,Anorrhinus austeni,5
Anorrhinus galeritus,29,Anorrhinus galeritus,6
Anorrhinus tickelli,13,Anorrhinus tickelli,5
Anous albivitta,0,Anous albivitta,0
Anous ceruleus,2,Anous ceruleus,9
Anous minutus,26,Anous minutus,19
Anous stolidus,29,Anous stolidus,25
Anous tenuirostris,13,Anous tenuirostris,19
Anser albifrons,258,Anser albifrons,721
Anser anser,490,Anser anser,1006
Anser brachyrhynchus,229,Anser brachyrhynchus,74
Anser caerulescens,110,Anser caerulescens,216
Anser canagicus,7,Anser canagicus,77
Anser cygnoides,27,Anser cygnoides,52421
Anser erythropus,19,Anser erythropus,1803
Anser fabalis,87,Anser fabalis,177
Anser indicus,35,Anser indicus,38
Anser rossii,33,Anser rossii,28
Anser serrirostris,56,Anser serrirostris,3
Anseranas semipalmata,16,Anseranas semipalmata,81
Anthipes monileger,32,Anthipes monileger,15
Anthipes solitaris,55,Anthipes solitaris,0
Anthobaphes violacea,17,Anthobaphes violacea,3
Anthocephala berlepschi,7,Anthocephala berlepschi,0
Anthocephala floriceps,7,Anthocephala floriceps,32
Anthochaera carunculata,34,Anthochaera carunculata,5
Anthochaera chrysoptera,33,Anthochaera chrysoptera,5
Anthochaera lunulata,9,Anthochaera lunulata,4
Anthochaera paradoxa,12,Anthochaera paradoxa,4
Anthochaera phrygia,3,Anthochaera phrygia,5
Anthornis melanocephala,0,Anthornis melanocephala,1
Anthornis melanura,47,Anthornis melanura,30
Anthoscopus caroli,11,Anthoscopus caroli,0
Anthoscopus flavifrons,3,Anthoscopus flavifrons,0
Anthoscopus minutus,32,Anthoscopus minutus,5
Anthoscopus musculus,15,Anthoscopus musculus,2
Anthoscopus parvulus,3,Anthoscopus parvulus,22
Anthoscopus punctifrons,2,Anthoscopus punctifrons,0
Anthracoceros albirostris,79,Anthracoceros albirostris,22
Anthracoceros coronatus,17,Anthracoceros coronatus,6
Anthracoceros malayanus,41,Anthracoceros malayanus,12
Anthracoceros marchei,1,Anthracoceros marchei,4
Anthracoceros montani,2,Anthracoceros montani,4
Anthracothorax dominicus,6,Anthracothorax dominicus,9
Anthracothorax mango,1,Anthracothorax mango,21
Anthracothorax nigricollis,25,Anthracothorax nigricollis,26
Anthracothorax prevostii,12,Anthracothorax prevostii,21
Anthracothorax veraguensis,7,Anthracothorax veraguensis,16
Anthracothorax viridigula,5,Anthracothorax viridigula,9
Anthracothorax viridis,1,Anthracothorax viridis,9
Anthreptes anchietae,8,Anthreptes anchietae,0
Anthreptes aurantius,0,Anthreptes aurantius,0
Anthreptes gabonicus,8,Anthreptes gabonicus,0
Anthreptes griseigularis,0,Anthreptes griseigularis,2
Anthreptes longuemarei,7,Anthreptes longuemarei,0
Anthreptes malacensis,83,Anthreptes malacensis,14
Anthreptes neglectus,1,Anthreptes neglectus,0
Anthreptes orientalis,20,Anthreptes orientalis,2
Anthreptes rectirostris,10,Anthreptes rectirostris,5
Anthreptes reichenowi,13,Anthreptes reichenowi,0
Anthreptes rhodolaemus,10,Anthreptes rhodolaemus,4
Anthreptes rubritorques,7,Anthreptes rubritorques,0
Anthreptes seimundi,2,Anthreptes seimundi,2
Anthreptes simplex,13,Anthreptes simplex,17
Anthropoides paradiseus,29,Anthropoides paradiseus,108
Anthropoides virgo,45,Anthropoides virgo,45
Anthus antarcticus,14,Anthus antarcticus,4
Anthus berthelotii,50,Anthus berthelotii,103
Anthus bogotensis,24,Anthus bogotensis,22
Anthus brachyurus,2,Anthus brachyurus,3
Anthus caffer,3,Anthus caffer,0
Anthus campestris,302,Anthus campestris,119
Anthus cervinus,236,Anthus cervinus,12
Anthus chacoensis,6,Anthus chacoensis,1
Anthus cinnamomeus,80,Anthus cinnamomeus,22
Anthus correndera,85,Anthus correndera,123
Anthus crenatus,92,Anthus crenatus,0
Anthus furcatus,34,Anthus furcatus,18
Anthus godlewskii,106,Anthus godlewskii,5
Anthus gustavi,21,Anthus gustavi,102
Anthus gutturalis,5,Anthus gutturalis,7
Anthus hellmayri,94,Anthus hellmayri,26
Anthus hodgsoni,564,Anthus hodgsoni,31
Anthus hoeschi,4,Anthus hoeschi,1
Anthus leucophrys,28,Anthus leucophrys,52
Anthus lineiventris,22,Anthus lineiventris,5
Anthus lutescens,77,Anthus lutescens,33
Anthus melindae,7,Anthus melindae,0
Anthus nattereri,49,Anthus nattereri,8
Anthus nilghiriensis,5,Anthus nilghiriensis,24
Anthus novaeseelandiae,23,Anthus novaeseelandiae,6
Anthus nyassae,11,Anthus nyassae,1
Anthus pallidiventris,3,Anthus pallidiventris,2
Anthus peruvianus,11,Anthus peruvianus,0
Anthus petrosus,190,Anthus petrosus,9
Anthus pratensis,606,Anthus pratensis,48
Anthus richardi,268,Anthus richardi,7
Anthus roseatus,31,Anthus roseatus,3
Anthus rubescens,129,Anthus rubescens,14
Anthus rufulus,60,Anthus rufulus,31
Anthus similis,60,Anthus similis,19
Anthus sokokensis,12,Anthus sokokensis,0
Anthus spinoletta,348,Anthus spinoletta,23
Anthus spragueii,37,Anthus spragueii,22
Anthus sylvanus,15,Anthus sylvanus,3
Anthus trivialis,1087,Anthus trivialis,246
Anthus vaalensis,5,Anthus vaalensis,5
Antigone antigone,23,Antigone antigone,101
Antigone canadensis,188,Antigone canadensis,231
Antigone rubicunda,14,Antigone rubicunda,15
Antigone vipio,28,Antigone vipio,25
Antilophia bokermanni,56,Antilophia bokermanni,63
Antilophia galeata,85,Antilophia galeata,124
Antrostomus arizonae,106,Antrostomus arizonae,10
Antrostomus badius,5,Antrostomus badius,0
Antrostomus carolinensis,97,Antrostomus carolinensis,87335
Antrostomus cubanensis,7,Antrostomus cubanensis,0
Antrostomus noctitherus,10,Antrostomus noctitherus,0
Antrostomus ridgwayi,63,Antrostomus ridgwayi,7
Antrostomus rufus,93,Antrostomus rufus,6
Antrostomus salvini,6,Antrostomus salvini,3
Antrostomus saturatus,24,Antrostomus saturatus,3
Antrostomus sericocaudatus,52,Antrostomus sericocaudatus,2
Antrostomus vociferus,85,Antrostomus vociferus,20
Anumara forbesi,14,Anumara forbesi,6
Anumbius annumbi,60,Anumbius annumbi,19
Anurolimnas castaneiceps,63,Anurolimnas castaneiceps,1
Anurolimnas fasciatus,37,Anurolimnas fasciatus,5
Anurolimnas viridis,148,Anurolimnas viridis,8
Anurophasis monorthonyx,3,Anurophasis monorthonyx,0
Apalis alticola,19,Apalis alticola,6
Apalis argentea,1,Apalis argentea,0
Apalis bamendae,0,Apalis bamendae,0
Apalis binotata,0,Apalis binotata,4
Apalis chapini,79,Apalis chapini,0
Apalis chariessa,14,Apalis chariessa,0
Apalis chirindensis,2,Apalis chirindensis,0
Apalis cinerea,50,Apalis cinerea,4
Apalis flavida,95,Apalis flavida,17
Apalis flavigularis,4,Apalis flavigularis,0
Apalis fuscigularis,2,Apalis fuscigularis,0
Apalis goslingi,0,Apalis goslingi,4
Apalis jacksoni,9,Apalis jacksoni,9
Apalis kaboboensis,0,Apalis kaboboensis,2
Apalis karamojae,1,Apalis karamojae,0
Apalis lynesi,0,Apalis lynesi,0
Apalis melanocephala,47,Apalis melanocephala,4
Apalis nigriceps,12,Apalis nigriceps,0
Apalis personata,22,Apalis personata,0
Apalis porphyrolaema,27,Apalis porphyrolaema,7
Apalis ruddi,11,Apalis ruddi,0
Apalis rufogularis,34,Apalis rufogularis,11
Apalis sharpii,17,Apalis sharpii,0
Apalis thoracica,119,Apalis thoracica,29
Apaloderma aequatoriale,8,Apaloderma aequatoriale,5
Apaloderma narina,65,Apaloderma narina,42
Apaloderma vittatum,64,Apaloderma vittatum,70136
Apalopteron familiare,2,Apalopteron familiare,3
Aphanapteryx bonasia,0,Aphanapteryx bonasia,0
Aphanotriccus audax,16,Aphanotriccus audax,11
Aphanotriccus capitalis,12,Aphanotriccus capitalis,6
Aphantochroa cirrochloris,44,Aphantochroa cirrochloris,6
Aphelocephala leucopsis,10,Aphelocephala leucopsis,10
Aphelocephala nigricincta,2,Aphelocephala nigricincta,2
Aphelocephala pectoralis,3,Aphelocephala pectoralis,1
Aphelocoma californica,105,Aphelocoma californica,50504
Aphelocoma coerulescens,27,Aphelocoma coerulescens,77
Aphelocoma insularis,12,Aphelocoma insularis,18
Aphelocoma ultramarina,15,Aphelocoma ultramarina,48
Aphelocoma unicolor,32,Aphelocoma unicolor,40
Aphelocoma wollweberi,93,Aphelocoma wollweberi,181
Aphelocoma woodhouseii,114,Aphelocoma woodhouseii,49451
Aphrastura masafuerae,0,Aphrastura masafuerae,2
Aphrastura spinicauda,86,Aphrastura spinicauda,27
Aphrodroma brevirostris,2,Aphrodroma brevirostris,6
Aplonis atrifusca,15,Aplonis atrifusca,0
Aplonis brunneicapillus,2,Aplonis brunneicapillus,8
Aplonis cantoroides,9,Aplonis cantoroides,8
Aplonis cinerascens,2,Aplonis cinerascens,8
Aplonis corvina,0,Aplonis corvina,0
Aplonis crassa,4,Aplonis crassa,0
Aplonis dichroa,3,Aplonis dichroa,0
Aplonis feadensis,1,Aplonis feadensis,0
Aplonis fusca,0,Aplonis fusca,0
Aplonis grandis,16,Aplonis grandis,20
Aplonis insularis,1,Aplonis insularis,8
Aplonis magna,14,Aplonis magna,0
Aplonis mavornata,0,Aplonis mavornata,0
Aplonis metallica,58,Aplonis metallica,20
Aplonis minor,13,Aplonis minor,8
Aplonis mysolensis,12,Aplonis mysolensis,0
Aplonis mystacea,0,Aplonis mystacea,0
Aplonis opaca,21,Aplonis opaca,0
Aplonis panayensis,46,Aplonis panayensis,19
Aplonis pelzelni,0,Aplonis pelzelni,8
Aplonis santovestris,0,Aplonis santovestris,0
Aplonis striata,8,Aplonis striata,0
Aplonis tabuensis,17,Aplonis tabuensis,11
Aplonis ulietensis,NA,Aplonis ulietensis,0
Aplonis zelandica,1,Aplonis zelandica,0
Aprositornis disjuncta,11,Aprositornis disjuncta,0
Aprosmictus erythropterus,19,Aprosmictus erythropterus,13
Aprosmictus jonquillaceus,7,Aprosmictus jonquillaceus,4
Aptenodytes forsteri,3,Aptenodytes forsteri,31224
Aptenodytes patagonicus,35,Aptenodytes patagonicus,402
Apteryx australis,3,Apteryx australis,480
Apteryx haastii,6,Apteryx haastii,115
Apteryx mantelli,16,Apteryx mantelli,377919
Apteryx owenii,6,Apteryx owenii,168
Apteryx rowi,5,Apteryx rowi,48068
Apus acuticauda,1,Apus acuticauda,4
Apus aequatorialis,2,Apus aequatorialis,3
Apus affinis,89,Apus affinis,63
Apus alexandri,0,Apus alexandri,2
Apus apus,442,Apus apus,96
Apus balstoni,2,Apus balstoni,9
Apus barbatus,10,Apus barbatus,11
Apus batesi,2,Apus batesi,7
Apus berliozi,4,Apus berliozi,12
Apus bradfieldi,5,Apus bradfieldi,9
Apus caffer,59,Apus caffer,10
Apus cooki,4,Apus cooki,0
Apus horus,4,Apus horus,6
Apus leuconyx,1,Apus leuconyx,0
Apus melba,111,Apus melba,36
Apus niansae,1,Apus niansae,2
Apus nipalensis,40,Apus nipalensis,12
Apus pacificus,30,Apus pacificus,33
Apus pallidus,166,Apus pallidus,31
Apus salimalii,3,Apus salimalii,0
Apus unicolor,17,Apus unicolor,9
Aquila adalberti,42,Aquila adalberti,31
Aquila africana,1,Aquila africana,5
Aquila audax,2,Aquila audax,37
Aquila chrysaetos,62,Aquila chrysaetos,55576
Aquila fasciata,10,Aquila fasciata,94
Aquila gurneyi,1,Aquila gurneyi,10
Aquila heliaca,8,Aquila heliaca,137
Aquila nipalensis,8,Aquila nipalensis,241
Aquila rapax,1,Aquila rapax,20
Aquila spilogaster,3,Aquila spilogaster,17
Aquila verreauxii,5,Aquila verreauxii,14
Ara ambiguus,31,Ara ambiguus,17
Ara ararauna,128,Ara ararauna,123
Ara chloropterus,92,Ara chloropterus,29
Ara glaucogularis,12,Ara glaucogularis,10
Ara macao,101,Ara macao,448
Ara militaris,132,Ara militaris,99
Ara rubrogenys,7,Ara rubrogenys,19
Ara severus,129,Ara severus,21
Ara tricolor,0,Ara tricolor,3
Arachnothera affinis,11,Arachnothera affinis,3
Arachnothera chrysogenys,7,Arachnothera chrysogenys,16
Arachnothera clarae,3,Arachnothera clarae,9
Arachnothera crassirostris,4,Arachnothera crassirostris,7
Arachnothera dilutior,2,Arachnothera dilutior,9
Arachnothera everetti,16,Arachnothera everetti,29
Arachnothera flammifera,2,Arachnothera flammifera,15
Arachnothera flavigaster,16,Arachnothera flavigaster,14
Arachnothera juliae,7,Arachnothera juliae,5
Arachnothera longirostra,140,Arachnothera longirostra,671
Arachnothera magna,59,Arachnothera magna,28
Arachnothera modesta,8,Arachnothera modesta,14
Arachnothera robusta,7,Arachnothera robusta,10
Aramides albiventris,16,Aramides albiventris,0
Aramides axillaris,16,Aramides axillaris,5
Aramides cajaneus,209,Aramides cajaneus,12
Aramides calopterus,3,Aramides calopterus,0
Aramides mangle,10,Aramides mangle,5
Aramides saracura,101,Aramides saracura,0
Aramides wolfi,15,Aramides wolfi,0
Aramides ypecaha,60,Aramides ypecaha,11
Aramidopsis plateni,0,Aramidopsis plateni,3
Aramus guarauna,174,Aramus guarauna,74
Aratinga auricapillus,40,Aratinga auricapillus,46
Aratinga jandaya,24,Aratinga jandaya,31
Aratinga maculata,8,Aratinga maculata,6
Aratinga nenday,25,Aratinga nenday,27
Aratinga solstitialis,10,Aratinga solstitialis,46
Aratinga weddellii,55,Aratinga weddellii,30
Arborophila ardens,19,Arborophila ardens,71
Arborophila atrogularis,14,Arborophila atrogularis,13
Arborophila brunneopectus,12,Arborophila brunneopectus,50
Arborophila cambodiana,3,Arborophila cambodiana,0
Arborophila campbelli,21,Arborophila campbelli,0
Arborophila charltonii,29,Arborophila charltonii,3
Arborophila chloropus,39,Arborophila chloropus,11
Arborophila crudigularis,13,Arborophila crudigularis,39
Arborophila davidi,11,Arborophila davidi,0
Arborophila gingica,8,Arborophila gingica,80
Arborophila hyperythra,28,Arborophila hyperythra,0
Arborophila javanica,22,Arborophila javanica,7
Arborophila mandellii,15,Arborophila mandellii,0
Arborophila orientalis,31,Arborophila orientalis,0
Arborophila rolli,9,Arborophila rolli,0
Arborophila rubrirostris,8,Arborophila rubrirostris,0
Arborophila rufipectus,4,Arborophila rufipectus,88
Arborophila rufogularis,41,Arborophila rufogularis,22
Arborophila sumatrana,1,Arborophila sumatrana,0
Arborophila torqueola,49,Arborophila torqueola,17
Arcanator orostruthus,52,Arcanator orostruthus,7
Archboldia papuensis,10,Archboldia papuensis,5
Archilochus alexandri,87,Archilochus alexandri,47
Archilochus colubris,43,Archilochus colubris,91
Ardea alba,247,Ardea alba,49
Ardea cinerea,731,Ardea cinerea,84
Ardea cocoi,52,Ardea cocoi,13
Ardea goliath,1,Ardea goliath,0
Ardea herodias,106,Ardea herodias,169
Ardea humbloti,0,Ardea humbloti,0
Ardea insignis,2,Ardea insignis,4
Ardea intermedia,13,Ardea intermedia,33
Ardea melanocephala,14,Ardea melanocephala,0
Ardea pacifica,5,Ardea pacifica,1
Ardea purpurea,127,Ardea purpurea,18
Ardea sumatrana,15,Ardea sumatrana,0
Ardenna bulleri,0,Ardenna bulleri,12
Ardenna carneipes,9,Ardenna carneipes,1804
Ardenna creatopus,17,Ardenna creatopus,7
Ardenna gravis,2,Ardenna gravis,10
Ardenna grisea,12,Ardenna grisea,125
Ardenna pacifica,27,Ardenna pacifica,31
Ardenna tenuirostris,3,Ardenna tenuirostris,17
Ardeola bacchus,19,Ardeola bacchus,24
Ardeola grayii,16,Ardeola grayii,1
Ardeola idae,0,Ardeola idae,5
Ardeola ralloides,54,Ardeola ralloides,12
Ardeola rufiventris,0,Ardeola rufiventris,1
Ardeola speciosa,2,Ardeola speciosa,0
Ardeotis arabs,1,Ardeotis arabs,8
Ardeotis australis,1,Ardeotis australis,0
Ardeotis kori,5,Ardeotis kori,1534
Ardeotis nigriceps,0,Ardeotis nigriceps,6
Arenaria interpres,219,Arenaria interpres,99
Arenaria melanocephala,31,Arenaria melanocephala,6
Argusianus argus,75,Argusianus argus,2008
Arizelocichla chlorigula,52,Arizelocichla chlorigula,5
Arizelocichla fusciceps,11,Arizelocichla fusciceps,7
Arizelocichla masukuensis,31,Arizelocichla masukuensis,35
Arizelocichla milanjensis,21,Arizelocichla milanjensis,12
Arizelocichla montana,3,Arizelocichla montana,3
Arizelocichla neumanni,2,Arizelocichla neumanni,5
Arizelocichla nigriceps,14,Arizelocichla nigriceps,17
Arizelocichla tephrolaema,9,Arizelocichla tephrolaema,38
Arremon abeillei,41,Arremon abeillei,0
Arremon assimilis,203,Arremon assimilis,4
Arremon atricapillus,46,Arremon atricapillus,2
Arremon aurantiirostris,205,Arremon aurantiirostris,27
Arremon basilicus,21,Arremon basilicus,1
Arremon brunneinucha,239,Arremon brunneinucha,127
Arremon castaneiceps,35,Arremon castaneiceps,13
Arremon costaricensis,14,Arremon costaricensis,0
Arremon crassirostris,12,Arremon crassirostris,2
Arremon flavirostris,73,Arremon flavirostris,238
Arremon franciscanus,29,Arremon franciscanus,8
Arremon perijanus,9,Arremon perijanus,0
Arremon phaeopleurus,2,Arremon phaeopleurus,1
Arremon phygas,4,Arremon phygas,1
Arremon schlegeli,20,Arremon schlegeli,13
Arremon semitorquatus,48,Arremon semitorquatus,9
Arremon taciturnus,130,Arremon taciturnus,272
Arremon torquatus,32,Arremon torquatus,98
Arremon virenticeps,33,Arremon virenticeps,12
Arremonops chloronotus,31,Arremonops chloronotus,6
Arremonops conirostris,173,Arremonops conirostris,5
Arremonops rufivirgatus,73,Arremonops rufivirgatus,19
Arremonops tocuyensis,13,Arremonops tocuyensis,0
Arses insularis,11,Arses insularis,16
Arses kaupi,10,Arses kaupi,17
Arses lorealis,5,Arses lorealis,15
Arses telescopthalmus,20,Arses telescopthalmus,28
Artamella viridis,8,Artamella viridis,16
Artamus cinereus,8,Artamus cinereus,55
Artamus cyanopterus,16,Artamus cyanopterus,24
Artamus fuscus,32,Artamus fuscus,0
Artamus insignis,1,Artamus insignis,0
Artamus leucorynchus,27,Artamus leucorynchus,37
Artamus maximus,14,Artamus maximus,7
Artamus mentalis,2,Artamus mentalis,0
Artamus minor,5,Artamus minor,1
Artamus monachus,3,Artamus monachus,0
Artamus personatus,6,Artamus personatus,76
Artamus superciliosus,14,Artamus superciliosus,59
Artemisiospiza belli,91,Artemisiospiza belli,136
Artemisiospiza nevadensis,53,Artemisiospiza nevadensis,9
Artisornis metopias,68,Artisornis metopias,135
Artisornis moreaui,18,Artisornis moreaui,14
Arundinax aedon,69,Arundinax aedon,27
Arundinicola leucocephala,25,Arundinicola leucocephala,35
Asarcornis scutulata,4,Asarcornis scutulata,10
Asemospiza fuliginosa,75,Asemospiza fuliginosa,8
Asemospiza obscura,44,Asemospiza obscura,84
Ashbyia lovensis,0,Ashbyia lovensis,4
Asio abyssinicus,0,Asio abyssinicus,0
