Xeno-canto Matched to eBird/Clements,No.Recordings,GenBank species,GB_Nucleotide_Seqs
Ampeliceps coronatus,2,Ampeliceps coronatus,11
Ampelioides tschudii,40,Ampelioides tschudii,16
Ampelion rubrocristatus,27,Ampelion rubrocristatus,7
Ampelion rufaxilla,18,Ampelion rufaxilla,9
Ampelornis griseiceps,20,Ampelornis griseiceps,4
Amphilais seebohmi,NA,Amphilais seebohmi,10
Amphispiza bilineata,188,Amphispiza bilineata,40
Amphispiza quinquestriata,57,Amphispiza quinquestriata,13
Amytornis ballarae,3,Amytornis ballarae,113
Amytornis barbatus,2,Amytornis barbatus,104
Amytornis dorotheae,3,Amytornis dorotheae,42
Amytornis goyderi,6,Amytornis goyderi,96
Amytornis housei,1,Amytornis housei,114
Amytornis merrotsyi,6,Amytornis merrotsyi,111
Amytornis modestus,1,Amytornis modestus,183
Amytornis oweni,NA,Amytornis oweni,1
Amytornis purnelli,2,Amytornis purnelli,99
Amytornis rowleyi,NA,Amytornis rowleyi,6
Amytornis striatus,9,Amytornis striatus,219
Amytornis textilis,3,Amytornis textilis,103
Amytornis whitei,NA,Amytornis whitei,0
Amytornis woodwardi,1,Amytornis woodwardi,6
Anabacerthia amaurotis,21,Anabacerthia amaurotis,5
Anabacerthia lichtensteini,62,Anabacerthia lichtensteini,10
Anabacerthia ruficaudata,20,Anabacerthia ruficaudata,6
Anabacerthia striaticollis,87,Anabacerthia striaticollis,11
Anabacerthia variegaticeps,66,Anabacerthia variegaticeps,7
Anabathmis hartlaubii,4,Anabathmis hartlaubii,3
Anabathmis newtonii,14,Anabathmis newtonii,6
Anabathmis reichenbachii,12,Anabathmis reichenbachii,5
Anabazenops dorsalis,51,Anabazenops dorsalis,4
Anabazenops fuscus,94,Anabazenops fuscus,14
Anairetes alpinus,12,Anairetes alpinus,14
Anairetes fernandezianus,9,Anairetes fernandezianus,2
Anairetes flavirostris,36,Anairetes flavirostris,44
Anairetes nigrocristatus,25,Anairetes nigrocristatus,79
Anairetes parulus,80,Anairetes parulus,39
Anairetes reguloides,16,Anairetes reguloides,219
Analisoma analis,2,Analisoma analis,3
Analisoma coerulescens,10,Analisoma coerulescens,8
Analisoma ostenta,11,Analisoma ostenta,3
Anaplectes rubriceps,8,Anaplectes rubriceps,7
