GenBankID,GB_Nucleotide_Seqs,GenBank_Name,GenBank_Group,EBirdClements_Names,Ebird_Group,Clements_Order,Clements_Family,Reconciliation,IUCN_Status
2575904,2,Acrocephalus_rodericanus,species,Acrocephalus_rodericanus,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Near Threatened
126875,13,Acrocephalus_rufescens,species,Acrocephalus_rufescens,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
52609,3634,Acrocephalus_schoenobaenus,species,Acrocephalus_schoenobaenus,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
48156,449,Acrocephalus_scirpaceus,species,Acrocephalus_scirpaceus,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
68481,277,Acrocephalus_sechellensis,species,Acrocephalus_sechellensis,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Near Threatened
N/A,N/A,N/A,N/A,Acrocephalus_sorghophilus,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Endangered
68485,12,Acrocephalus_stentoreus,species,Acrocephalus_stentoreus,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
435333,15,Acrocephalus_syrinx,species,Acrocephalus_syrinx,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
435342,41,Acrocephalus_taiti,species,Acrocephalus_taiti,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Vulnerable
68477,19,Acrocephalus_tangorum,species,Acrocephalus_tangorum,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Vulnerable
126876,9,Acrocephalus_vaughani,species,Acrocephalus_vaughani,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Endangered
1114300,6,Acrocephalus_yamashinae,species,Acrocephalus_yamashinae,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Extinct
589933,6,Acropternis_orthonyx,species,Acropternis_orthonyx,species,Passeriformes,Rhinocryptidae (Tapaculos),,Least Concern
8992,30,Acryllium_vulturinum,species,Acryllium_vulturinum,species,Galliformes,Numididae (Guineafowl),,Least Concern
2231372,1,Actenoides_bougainvillei,species,Actenoides_bougainvillei,species,Coraciiformes,Alcedinidae (Kingfishers),,Endangered
342375,12,Actenoides_concretus,species,Actenoides_concretus,species,Coraciiformes,Alcedinidae (Kingfishers),,Near Threatened
1651254,5,Actenoides_hombroni,species,Actenoides_hombroni,species,Coraciiformes,Alcedinidae (Kingfishers),,Vulnerable
342376,11,Actenoides_lindsayi,species,Actenoides_lindsayi,species,Coraciiformes,Alcedinidae (Kingfishers),,Least Concern
2231375,1,Actenoides_monachus,species,Actenoides_monachus,species,Coraciiformes,Alcedinidae (Kingfishers),,Near Threatened
2231378,2,Actenoides_princeps,species,Actenoides_princeps,species,Coraciiformes,Alcedinidae (Kingfishers),,Near Threatened
201347,23,Siva_cyanouroptera,species,Actinodura_cyanouroptera,species,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),taxonomy,Least Concern
889799,28,Actinodura_egertoni,species,Actinodura_egertoni,species,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),,Least Concern
889798,21,Sibia_morrisoniana,species,Actinodura_morrisoniana,species,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),taxonomy,Least Concern
201297,12,Sibia_nipalensis,species,Actinodura_nipalensis,species,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),taxonomy,Least Concern
889800,18,Actinodura_ramsayi,species,Actinodura_ramsayi,species,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),,Least Concern
N/A,N/A,N/A,N/A,Actinodura_sodangorum,species,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),,Near Threatened
181643,10,Sibia_souliei,species,Actinodura_souliei,species,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),taxonomy,Least Concern
201349,17,Chrysominla_strigula,species,Actinodura_strigula,species,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),taxonomy,Least Concern
889797,18,Actinodura_waldeni,species,Actinodura_waldeni,species,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),,Least Concern
320702,314,Actitis_hypoleucos,species,Actitis_hypoleucos,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),,Least Concern
190659,28,Actitis_macularia,species,Actitis_macularius,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),,Least Concern
118783,11,Actophilornis_africanus,species,Actophilornis_africanus,species,Charadriiformes,Jacanidae (Jacanas),,Least Concern
N/A,N/A,N/A,N/A,Actophilornis_albinucha,species,Charadriiformes,Jacanidae (Jacanas),,Endangered
1507510,8,Adelomyia_sp._JAMG,species,Adelomyia_melanogenys,species,Caprimulgiformes,Trochilidae (Hummingbirds),unidentified,Least Concern
304594,289,Adelomyia_melanogenys,species,Adelomyia_melanogenys,species,Caprimulgiformes,Trochilidae (Hummingbirds),,Least Concern
190660,18,Aechmophorus_clarkii,species,Aechmophorus_clarkii,species,Podicipediformes,Podicipedidae (Grebes),,Least Concern
57236,17,Aechmophorus_occidentalis,species,Aechmophorus_occidentalis,species,Podicipediformes,Podicipedidae (Grebes),,Least Concern
73327,1011,Aegithalos_caudatus,species,Aegithalos_caudatus,species,Passeriformes,Aegithalidae (Long-tailed Tits),,Least Concern
312068,1971,Aegithalos_concinnus,species,Aegithalos_concinnus,species,Passeriformes,Aegithalidae (Long-tailed Tits),,Least Concern
762613,277,Aegithalos_fuliginosus,species,Aegithalos_fuliginosus,species,Passeriformes,Aegithalidae (Long-tailed Tits),,Least Concern
762568,14,Aegithalos_glaucogularis,species,Aegithalos_glaucogularis,species,Passeriformes,Aegithalidae (Long-tailed Tits),,Least Concern
174998,3,Aegithalos_iouschensis,species,Aegithalos_iouschistos,species,Passeriformes,Aegithalidae (Long-tailed Tits),spelling,Least Concern
762614,3,Aegithalos_iouschistos,species,Aegithalos_iouschistos,species,Passeriformes,Aegithalidae (Long-tailed Tits),,Least Concern
762619,7,Aegithalos_leucogenys,species,Aegithalos_leucogenys,species,Passeriformes,Aegithalidae (Long-tailed Tits),,Least Concern
762620,49,Aegithalos_niveogularis,species,Aegithalos_niveogularis,species,Passeriformes,Aegithalidae (Long-tailed Tits),,Least Concern
