no.Xeno-Canto,Common name in Xeno-canto,Scientific name in Xeno-canto,Status,No. Recordings,No. Background,matched to eBird/Clements taxa,,,,no.Clements,English name,scientific name
221,Smew,Mergellus albellus,,18,2,Mergellus albellus,,,,221,Barrow's Goldeneye,Bucephala islandica
222,Hooded Merganser,Lophodytes cucullatus,,27,6,Lophodytes cucullatus,,,,222,Smew,Mergellus albellus
223,New Zealand Merganser,Mergus australis,Extinct,0,0,Mergus australis,,,,223,Hooded Merganser,Lophodytes cucullatus
224,Brazilian Merganser,Mergus octosetaceus,,12,0,Mergus octosetaceus,,,,224,Auckland Islands Merganser,Mergus australis
225,Common Merganser,Mergus merganser,,126,15,Mergus merganser,,,,225,Common Merganser,Mergus merganser
226,Red-breasted Merganser,Mergus serrator,,51,14,Mergus serrator,,,,226,Brazilian Merganser,Mergus octosetaceus
227,Scaly-sided Merganser,Mergus squamatus,,2,0,Mergus squamatus,,,,227,Red-breasted Merganser,Mergus serrator
228,Black-headed Duck,Heteronetta atricapilla,,10,0,Heteronetta atricapilla,,,,228,Scaly-sided Merganser,Mergus squamatus
229,Masked Duck,Nomonyx dominicus,,14,0,Nomonyx dominicus,,,,229,Black-headed Duck,Heteronetta atricapilla
230,Ruddy Duck,Oxyura jamaicensis,,33,11,Oxyura jamaicensis,,,,230,Masked Duck,Nomonyx dominicus
231,Andean Duck,Oxyura ferruginea,,17,0,Oxyura ferruginea,,,,231,Ruddy Duck,Oxyura jamaicensis
232,Lake Duck,Oxyura vittata,,1,0,Oxyura vittata,,,,232,Andean Duck,Oxyura ferruginea
233,Blue-billed Duck,Oxyura australis,,0,0,Oxyura australis,,,,233,White-headed Duck,Oxyura leucocephala
234,Maccoa Duck,Oxyura maccoa,,3,0,Oxyura maccoa,,,,234,Maccoa Duck,Oxyura maccoa
235,White-headed Duck,Oxyura leucocephala,,5,3,Oxyura leucocephala,,,,235,Lake Duck,Oxyura vittata
236,Musk Duck,Biziura lobata,,11,0,Biziura lobata,,,,236,Blue-billed Duck,Oxyura australis
237,Australian Brushturkey,Alectura lathami,,22,9,Alectura lathami,,,,237,Musk Duck,Biziura lobata
238,Wattled Brushturkey,Aepypodius arfakianus,,1,0,Aepypodius arfakianus,,,,238,Australian Brushturkey,Alectura lathami
239,Waigeo Brushturkey,Aepypodius bruijnii,,0,0,Aepypodius bruijnii,,,,239,Wattled Brushturkey,Aepypodius arfakianus
240,Red-billed Brushturkey,Talegalla cuvieri,,4,1,Talegalla cuvieri,,,,240,Waigeo Brushturkey,Aepypodius bruijnii
241,Black-billed Brushturkey,Talegalla fuscirostris,,20,2,Talegalla fuscirostris,,,,241,Red-billed Brushturkey,Talegalla cuvieri
242,Collared Brushturkey,Talegalla jobiensis,,19,3,Talegalla jobiensis,,,,242,Yellow-legged Brushturkey,Talegalla fuscirostris
243,Malleefowl,Leipoa ocellata,,1,0,Leipoa ocellata,,,,243,Red-legged Brushturkey,Talegalla jobiensis
244,Maleo,Macrocephalon maleo,,7,1,Macrocephalon maleo,,,,244,Malleefowl,Leipoa ocellata
245,Moluccan Megapode,Eulipoa wallacei,,6,0,Eulipoa wallacei,,,,245,Maleo,Macrocephalon maleo
246,Tongan Megapode,Megapodius pritchardii,,14,0,Megapodius pritchardii,,,,246,Moluccan Scrubfowl,Eulipoa wallacei
247,Micronesian Megapode,Megapodius laperouse,,7,0,Megapodius laperouse,,,,247,Niuafoou Scrubfowl,Megapodius pritchardii
248,Nicobar Megapode,Megapodius nicobariensis,,2,0,Megapodius nicobariensis,,,,248,Micronesian Scrubfowl,Megapodius laperouse
249,Philippine Megapode,Megapodius cumingii,,16,5,Megapodius cumingii,,,,249,Nicobar Scrubfowl,Megapodius nicobariensis
250,Sula Megapode,Megapodius bernsteinii,,5,0,Megapodius bernsteinii,,,,250,Tabon Scrubfowl,Megapodius cumingii
251,Tanimbar Megapode,Megapodius tenimberensis,,1,0,Megapodius tenimberensis,,,,251,Sula Scrubfowl,Megapodius bernsteinii
252,Dusky Megapode,Megapodius freycinet,,40,15,Megapodius freycinet,,,,252,Tanimbar Scrubfowl,Megapodius tenimberensis
253,Biak Scrubfowl,Megapodius geelvinkianus,,9,0,Megapodius geelvinkianus,,,,253,Dusky Scrubfowl,Megapodius freycinet
254,Melanesian Megapode,Megapodius eremita,,12,2,Megapodius eremita,,,,254,Biak Scrubfowl,Megapodius geelvinkianus
255,Vanuatu Megapode,Megapodius layardi,,3,0,Megapodius layardi,,,,255,Forsten's Scrubfowl,Megapodius forsteni
256,New Guinea Scrubfowl,Megapodius decollatus,,6,0,Megapodius decollatus,,,,256,Melanesian Scrubfowl,Megapodius eremita
257,Orange-footed Scrubfowl,Megapodius reinwardt,,52,26,Megapodius reinwardt,,,,257,Vanuatu Scrubfowl,Megapodius layardi
258,Plain Chachalaca,Ortalis vetula,,83,54,Ortalis vetula,,,,258,New Guinea Scrubfowl,Megapodius decollatus
259,Grey-headed Chachalaca,Ortalis cinereiceps,,34,6,Ortalis cinereiceps,,,,259,Orange-footed Scrubfowl,Megapodius reinwardt
260,Chestnut-winged Chachalaca,Ortalis garrula,,43,8,Ortalis garrula,,,,260,Plain Chachalaca,Ortalis vetula
261,Rufous-vented Chachalaca,Ortalis ruficauda,,47,14,Ortalis ruficauda,,,,261,Gray-headed Chachalaca,Ortalis cinereiceps
262,Rufous-headed Chachalaca,Ortalis erythroptera,,36,16,Ortalis erythroptera,,,,262,Chestnut-winged Chachalaca,Ortalis garrula
263,Rufous-bellied Chachalaca,Ortalis wagleri,,52,89,Ortalis wagleri,,,,263,Rufous-vented Chachalaca,Ortalis ruficauda
264,West Mexican Chachalaca,Ortalis poliocephala,,30,26,Ortalis poliocephala,,,,264,Rufous-headed Chachalaca,Ortalis erythroptera
265,Chaco Chachalaca,Ortalis canicollis,,86,106,Ortalis canicollis,,,,265,Rufous-bellied Chachalaca,Ortalis wagleri
266,White-bellied Chachalaca,Ortalis leucogastra,,19,3,Ortalis leucogastra,,,,266,West Mexican Chachalaca,Ortalis poliocephala
267,Speckled Chachalaca,Ortalis guttata,,94,116,Ortalis guttata,,,,267,Chaco Chachalaca,Ortalis canicollis
268,East Brazilian Chachalaca,Ortalis araucuan,,15,6,Ortalis araucuan,,,,268,White-bellied Chachalaca,Ortalis leucogastra
269,Scaled Chachalaca,Ortalis squamata,,16,1,Ortalis squamata,,,,269,Colombian Chachalaca,Ortalis columbiana
270,Colombian Chachalaca,Ortalis columbiana,,108,47,Ortalis columbiana,,,,270,Speckled Chachalaca,Ortalis guttata
271,Little Chachalaca,Ortalis motmot,,39,27,Ortalis motmot,,,,271,East Brazilian Chachalaca,Ortalis araucuan
272,Chestnut-headed Chachalaca,Ortalis ruficeps,,4,0,Ortalis motmot,,,,272,Scaled Chachalaca,Ortalis squamata
273,Buff-browed Chachalaca,Ortalis superciliaris,,8,1,Ortalis superciliaris,,,,273,Variable Chachalaca,Ortalis motmot
274,Band-tailed Guan,Penelope argyrotis,,47,8,Penelope argyrotis,,,,274,Buff-browed Chachalaca,Ortalis superciliaris
275,Bearded Guan,Penelope barbata,,27,11,Penelope barbata,,,,275,Band-tailed Guan,Penelope argyrotis
276,Baudo Guan,Penelope ortoni,,13,1,Penelope ortoni,,,,276,Bearded Guan,Penelope barbata
277,Andean Guan,Penelope montagnii,,124,27,Penelope montagnii,,,,277,Baudo Guan,Penelope ortoni
278,Marail Guan,Penelope marail,,19,2,Penelope marail,,,,278,Andean Guan,Penelope montagnii
279,Rusty-margined Guan,Penelope superciliaris,,37,3,Penelope superciliaris,,,,279,Marail Guan,Penelope marail
280,Red-faced Guan,Penelope dabbenei,,23,0,Penelope dabbenei,,,,280,Rusty-margined Guan,Penelope superciliaris
281,Crested Guan,Penelope purpurascens,,88,33,Penelope purpurascens,,,,281,Red-faced Guan,Penelope dabbenei
282,Cauca Guan,Penelope perspicax,,54,10,Penelope perspicax,,,,282,Spix's Guan,Penelope jacquacu
283,White-winged Guan,Penelope albipennis,,20,9,Penelope albipennis,,,,283,Crested Guan,Penelope purpurascens
284,Spix's Guan,Penelope jacquacu,,55,186,Penelope jacquacu,,,,284,Cauca Guan,Penelope perspicax
285,Dusky-legged Guan,Penelope obscura,,106,17,Penelope obscura,,,,285,White-winged Guan,Penelope albipennis
286,White-crested Guan,Penelope pileata,,10,1,Penelope pileata,,,,286,Dusky-legged Guan,Penelope obscura
287,Chestnut-bellied Guan,Penelope ochrogaster,,10,0,Penelope ochrogaster,,,,287,White-crested Guan,Penelope pileata
288,White-browed Guan,Penelope jacucaca,,3,2,Penelope jacucaca,,,,288,Chestnut-bellied Guan,Penelope ochrogaster
289,Trinidad Piping Guan,Pipile pipile,,1,0,Pipile pipile,,,,289,White-browed Guan,Penelope jacucaca
290,Blue-throated Piping Guan,Pipile cumanensis,,42,48,Pipile cumanensis,,,,290,Trinidad Piping-Guan,Pipile pipile
291,Red-throated Piping Guan,Pipile cujubi,,15,4,Pipile cujubi,,,,291,Blue-throated Piping-Guan,Pipile cumanensis
292,Black-fronted Piping Guan,Pipile jacutinga,,12,0,Pipile jacutinga,,,,292,Red-throated Piping-Guan,Pipile cujubi
293,Wattled Guan,Aburria aburri,,59,29,Aburria aburri,,,,293,Black-fronted Piping-Guan,Pipile jacutinga
294,Black Guan,Chamaepetes unicolor,,6,0,Chamaepetes unicolor,,,,294,Wattled Guan,Aburria aburri
295,Sickle-winged Guan,Chamaepetes goudotii,,44,2,Chamaepetes goudotii,,,,295,Black Guan,Chamaepetes unicolor
296,Highland Guan,Penelopina nigra,,38,65,Penelopina nigra,,,,296,Sickle-winged Guan,Chamaepetes goudotii
297,Horned Guan,Oreophasis derbianus,,16,7,Oreophasis derbianus,,,,297,Highland Guan,Penelopina nigra
298,Nocturnal Curassow,Nothocrax urumutum,,24,2,Nothocrax urumutum,,,,298,Horned Guan,Oreophasis derbianus
299,Crestless Curassow,Mitu tomentosum,,19,2,Mitu tomentosum,,,,299,Nocturnal Curassow,Nothocrax urumutum
300,Salvin's Curassow,Mitu salvini,,16,0,Mitu salvini,,,,300,Crestless Curassow,Mitu tomentosum
301,Razor-billed Curassow,Mitu tuberosum,,28,70,Mitu tuberosum,,,,301,Salvin's Curassow,Mitu salvini
302,Alagoas Curassow,Mitu mitu,,0,0,Mitu mitu,,,,302,Razor-billed Curassow,Mitu tuberosum
303,Helmeted Curassow,Pauxi pauxi,,8,0,Pauxi pauxi,,,,303,Alagoas Curassow,Mitu mitu
304,Horned Curassow,Pauxi unicornis,,0,0,Pauxi unicornis,,,,304,Helmeted Curassow,Pauxi pauxi
305,Sira Curassow,Pauxi koepckeae,,7,0,Pauxi koepckeae,,,,305,Sira Curassow,Pauxi koepckeae
306,Great Curassow,Crax rubra,,27,2,Crax rubra,,,,306,Horned Curassow,Pauxi unicornis
307,Blue-billed Curassow,Crax alberti,,27,0,Crax alberti,,,,307,Great Curassow,Crax rubra
308,Yellow-knobbed Curassow,Crax daubentoni,,6,0,Crax daubentoni,,,,308,Blue-billed Curassow,Crax alberti
309,Black Curassow,Crax alector,,21,2,Crax alector,,,,309,Yellow-knobbed Curassow,Crax daubentoni
310,Wattled Curassow,Crax globulosa,,12,3,Crax globulosa,,,,310,Black Curassow,Crax alector
311,Bare-faced Curassow,Crax fasciolata,,58,8,Crax fasciolata,,,,311,Wattled Curassow,Crax globulosa
312,Red-billed Curassow,Crax blumenbachii,,11,1,Crax blumenbachii,,,,312,Bare-faced Curassow,Crax fasciolata
313,White-breasted Guineafowl,Agelastes meleagrides,,1,0,Agelastes meleagrides,,,,313,Red-billed Curassow,Crax blumenbachii
314,Black Guineafowl,Agelastes niger,,0,0,Agelastes niger,,,,314,Helmeted Guineafowl,Numida meleagris
315,Helmeted Guineafowl,Numida meleagris,,88,112,Numida meleagris,,,,315,White-breasted Guineafowl,Agelastes meleagrides
316,Plumed Guineafowl,Guttera plumifera,,4,0,Guttera plumifera,,,,316,Black Guineafowl,Agelastes niger
317,Crested Guineafowl,Guttera pucherani,,10,2,Guttera pucherani,,,,317,Vulturine Guineafowl,Acryllium vulturinum
318,Vulturine Guineafowl,Acryllium vulturinum,,3,0,Acryllium vulturinum,,,,318,Plumed Guineafowl,Guttera plumifera
319,Stone Partridge,Ptilopachus petrosus,,35,10,Ptilopachus petrosus,,,,319,Crested Guineafowl,Guttera pucherani
320,Nahan's Partridge,Ptilopachus nahani,,2,0,Ptilopachus nahani,,,,320,Stone Partridge,Ptilopachus petrosus
321,Bearded Wood Partridge,Dendrortyx barbatus,,7,0,Dendrortyx barbatus,,,,321,Nahan's Francolin,Ptilopachus nahani
322,Long-tailed Wood Partridge,Dendrortyx macroura,,31,5,Dendrortyx macroura,,,,322,Tawny-faced Quail,Rhynchortyx cinctus
323,Buffy-crowned Wood Partridge,Dendrortyx leucophrys,,15,5,Dendrortyx leucophrys,,,,323,Mountain Quail,Oreortyx pictus
324,Mountain Quail,Oreortyx pictus,,78,202,Oreortyx pictus,,,,324,Bearded Wood-Partridge,Dendrortyx barbatus
325,Scaled Quail,Callipepla squamata,,53,23,Callipepla squamata,,,,325,Long-tailed Wood-Partridge,Dendrortyx macroura
326,Elegant Quail,Callipepla douglasii,,51,99,Callipepla douglasii,,,,326,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys
327,California Quail,Callipepla californica,,151,214,Callipepla californica,,,,327,Banded Quail,Philortyx fasciatus
328,Gambel's Quail,Callipepla gambelii,,102,713,Callipepla gambelii,,,,328,Northern Bobwhite,Colinus virginianus
329,Banded Quail,Philortyx fasciatus,,14,0,Philortyx fasciatus,,,,329,Black-throated Bobwhite,Colinus nigrogularis
330,Northern Bobwhite,Colinus virginianus,,93,90,Colinus virginianus,,,,330,Crested Bobwhite,Colinus cristatus
331,Yucatan Bobwhite,Colinus nigrogularis,,7,1,Colinus nigrogularis,,,,331,Scaled Quail,Callipepla squamata
332,Spot-bellied Bobwhite,Colinus leucopogon,,26,31,Colinus cristatus,,,,332,Elegant Quail,Callipepla douglasii
333,Crested Bobwhite,Colinus cristatus,,57,43,Colinus cristatus,,,,333,California Quail,Callipepla californica
334,Marbled Wood Quail,Odontophorus gujanensis,,82,11,Odontophorus gujanensis,,,,334,Gambel's Quail,Callipepla gambelii
335,Spot-winged Wood Quail,Odontophorus capueira,,68,11,Odontophorus capueira,,,,335,Montezuma Quail,Cyrtonyx montezumae
336,Black-eared Wood Quail,Odontophorus melanotis,,26,0,Odontophorus melanotis,,,,336,Ocellated Quail,Cyrtonyx ocellatus
337,Rufous-fronted Wood Quail,Odontophorus erythrops,,32,6,Odontophorus erythrops,,,,337,Singing Quail,Dactylortyx thoracicus
338,Black-fronted Wood Quail,Odontophorus atrifrons,,17,2,Odontophorus atrifrons,,,,338,Marbled Wood-Quail,Odontophorus gujanensis
339,Chestnut Wood Quail,Odontophorus hyperythrus,,95,3,Odontophorus hyperythrus,,,,339,Spot-winged Wood-Quail,Odontophorus capueira
340,Dark-backed Wood Quail,Odontophorus melanonotus,,28,7,Odontophorus melanonotus,,,,340,Black-eared Wood-Quail,Odontophorus melanotis
341,Rufous-breasted Wood Quail,Odontophorus speciosus,,30,4,Odontophorus speciosus,,,,341,Black-fronted Wood-Quail,Odontophorus atrifrons
342,Tacarcuna Wood Quail,Odontophorus dialeucos,,1,0,Odontophorus dialeucos,,,,342,Rufous-fronted Wood-Quail,Odontophorus erythrops
343,Gorgeted Wood Quail,Odontophorus strophium,,36,1,Odontophorus strophium,,,,343,Chestnut Wood-Quail,Odontophorus hyperythrus
344,Venezuelan Wood Quail,Odontophorus columbianus,,6,0,Odontophorus columbianus,,,,344,Dark-backed Wood-Quail,Odontophorus melanonotus
345,Black-breasted Wood Quail,Odontophorus leucolaemus,,20,0,Odontophorus leucolaemus,,,,345,Rufous-breasted Wood-Quail,Odontophorus speciosus
346,Stripe-faced Wood Quail,Odontophorus balliviani,,14,5,Odontophorus balliviani,,,,346,Tacarcuna Wood-Quail,Odontophorus dialeucos
347,Starred Wood Quail,Odontophorus stellatus,,32,39,Odontophorus stellatus,,,,347,Gorgeted Wood-Quail,Odontophorus strophium
348,Spotted Wood Quail,Odontophorus guttatus,,41,4,Odontophorus guttatus,,,,348,Venezuelan Wood-Quail,Odontophorus columbianus
349,Singing Quail,Dactylortyx thoracicus,,35,12,Dactylortyx thoracicus,,,,349,Black-breasted Wood-Quail,Odontophorus leucolaemus
350,Montezuma Quail,Cyrtonyx montezumae,,72,22,Cyrtonyx montezumae,,,,350,Stripe-faced Wood-Quail,Odontophorus balliviani
351,Ocellated Quail,Cyrtonyx ocellatus,,17,1,Cyrtonyx ocellatus,,,,351,Starred Wood-Quail,Odontophorus stellatus
352,Tawny-faced Quail,Rhynchortyx cinctus,,40,12,Rhynchortyx cinctus,,,,352,Spotted Wood-Quail,Odontophorus guttatus
353,Wild Turkey,Meleagris gallopavo,,86,89,Meleagris gallopavo,,,,353,Udzungwa Partridge,Xenoperdix udzungwensis
354,Ocellated Turkey,Meleagris ocellata,,11,0,Meleagris ocellata,,,,354,Ferruginous Partridge,Caloperdix oculeus
355,Ruffed Grouse,Bonasa umbellus,,34,16,Bonasa umbellus,,,,355,Crested Partridge,Rollulus rouloul
356,Hazel Grouse,Tetrastes bonasia,,178,16,Tetrastes bonasia,,,,356,Black Partridge,Melanoperdix niger
357,Chinese Grouse,Tetrastes sewerzowi,,1,0,Tetrastes sewerzowi,,,,357,Hill Partridge,Arborophila torqueola
358,Siberian Grouse,Falcipennis falcipennis,,1,0,Falcipennis falcipennis,,,,358,Sichuan Partridge,Arborophila rufipectus
359,Spruce Grouse,Falcipennis canadensis,,24,0,Falcipennis canadensis,,,,359,Chestnut-breasted Partridge,Arborophila mandellii
360,Western Capercaillie,Tetrao urogallus,,81,7,Tetrao urogallus,,,,360,White-necklaced Partridge,Arborophila gingica
361,Black-billed Capercaillie,Tetrao urogalloides,,15,0,Tetrao urogalloides,,,,361,Rufous-throated Partridge,Arborophila rufogularis
362,Black Grouse,Lyrurus tetrix,,142,152,Tetrao tetrix,,,,362,White-cheeked Partridge,Arborophila atrogularis
363,Caucasian Grouse,Lyrurus mlokosiewiczi,,1,0,Tetrao mlokosiewiczi,,,,363,Taiwan Partridge,Arborophila crudigularis
364,Sage Grouse,Centrocercus urophasianus,,30,1,Centrocercus urophasianus,,,,364,Hainan Partridge,Arborophila ardens
365,Gunnison Grouse,Centrocercus minimus,,7,0,Centrocercus minimus,,,,365,Chestnut-bellied Partridge,Arborophila javanica
366,Dusky Grouse,Dendragapus obscurus,,20,0,Dendragapus obscurus,,,,366,Malaysian Partridge,Arborophila campbelli
367,Sooty Grouse,Dendragapus fuliginosus,,38,8,Dendragapus fuliginosus,,,,367,Roll's Partridge,Arborophila rolli
368,Sharp-tailed Grouse,Tympanuchus phasianellus,,45,20,Tympanuchus phasianellus,,,,368,Sumatran Partridge,Arborophila sumatrana
369,Lesser Prairie Chicken,Tympanuchus pallidicinctus,,19,0,Tympanuchus pallidicinctus,,,,369,Gray-breasted Partridge,Arborophila orientalis
370,Greater Prairie Chicken,Tympanuchus cupido,,37,3,Tympanuchus cupido,,,,370,Bar-backed Partridge,Arborophila brunneopectus
371,White-tailed Ptarmigan,Lagopus leucura,,44,1,Lagopus leucura,,,,371,Orange-necked Partridge,Arborophila davidi
372,Rock Ptarmigan,Lagopus muta,,58,9,Lagopus muta,,,,372,Chestnut-headed Partridge,Arborophila cambodiana
373,Willow Ptarmigan,Lagopus lagopus,,105,54,Lagopus lagopus,,,,373,Red-breasted Partridge,Arborophila hyperythra
374,Snow Partridge,Lerwa lerwa,,14,0,Lerwa lerwa,,,,374,Red-billed Partridge,Arborophila rubrirostris
375,Verreaux's Monal-Partridge,Tetraophasis obscurus,,15,0,Tetraophasis obscurus,,,,375,Scaly-breasted Partridge,Arborophila chloropus
376,Szechenyi's Monal-Partridge,Tetraophasis szechenyii,,10,0,Tetraophasis szechenyii,,,,376,Chestnut-necklaced Partridge,Arborophila charltonii
377,Caucasian Snowcock,Tetraogallus caucasicus,,9,2,Tetraogallus caucasicus,,,,377,Long-billed Partridge,Rhizothera longirostris
378,Caspian Snowcock,Tetraogallus caspius,,12,1,Tetraogallus caspius,,,,378,Dulit Partridge,Rhizothera dulitensis
379,Himalayan Snowcock,Tetraogallus himalayensis,,9,1,Tetraogallus himalayensis,,,,379,Crested Argus,Rheinardia ocellata
380,Tibetan Snowcock,Tetraogallus tibetanus,,16,1,Tetraogallus tibetanus,,,,380,Great Argus,Argusianus argus
381,Altai Snowcock,Tetraogallus altaicus,,18,9,Tetraogallus altaicus,,,,381,Indian Peafowl,Pavo cristatus
382,Rock Partridge,Alectoris graeca,,39,0,Alectoris graeca,,,,382,Green Peafowl,Pavo muticus
383,Chukar Partridge,Alectoris chukar,,52,28,Alectoris chukar,,,,383,Congo Peacock,Afropavo congensis
384,Przevalski's Partridge,Alectoris magna,,11,0,Alectoris magna,,,,384,Crimson-headed Partridge,Haematortyx sanguiniceps
385,Philby's Partridge,Alectoris philbyi,,5,1,Alectoris philbyi,,,,385,Red Spurfowl,Galloperdix spadicea
386,Barbary Partridge,Alectoris barbara,,17,0,Alectoris barbara,,,,386,Painted Spurfowl,Galloperdix lunulata
387,Red-legged Partridge,Alectoris rufa,,215,1218,Alectoris rufa,,,,387,Sri Lanka Spurfowl,Galloperdix bicalcarata
388,Arabian Partridge,Alectoris melanocephala,,9,4,Alectoris melanocephala,,,,388,Palawan Peacock-Pheasant,Polyplectron napoleonis
389,See-see Partridge,Ammoperdix griseogularis,,3,1,Ammoperdix griseogularis,,,,389,Malayan Peacock-Pheasant,Polyplectron malacense
390,Sand Partridge,Ammoperdix heyi,,7,2,Ammoperdix heyi,,,,390,Bornean Peacock-Pheasant,Polyplectron schleiermacheri
391,Black Francolin,Francolinus francolinus,,57,16,Francolinus francolinus,,,,391,Germain's Peacock-Pheasant,Polyplectron germaini
392,Painted Francolin,Francolinus pictus,,19,4,Francolinus pictus,,,,392,Hainan Peacock-Pheasant,Polyplectron katsumatae
393,Chinese Francolin,Francolinus pintadeanus,,38,13,Francolinus pintadeanus,,,,393,Mountain Peacock-Pheasant,Polyplectron inopinatum
394,Grey Francolin,Francolinus pondicerianus,,56,31,Francolinus pondicerianus,,,,394,Bronze-tailed Peacock-Pheasant,Polyplectron chalcurum
395,Swamp Francolin,Francolinus gularis,,10,1,Francolinus gularis,,,,395,Gray Peacock-Pheasant,Polyplectron bicalcaratum
396,Latham's Francolin,Peliperdix lathami,,8,0,Peliperdix lathami,,,,396,See-see Partridge,Ammoperdix griseogularis
397,Coqui Francolin,Peliperdix coqui,,21,2,Peliperdix coqui,,,,397,Sand Partridge,Ammoperdix heyi
398,White-throated Francolin,Peliperdix albogularis,,11,0,Peliperdix albogularis,,,,398,Brown Quail,Synoicus ypsilophorus
399,Schlegel's Francolin,Peliperdix schlegelii,,0,0,Peliperdix schlegelii,,,,399,Blue-breasted Quail,Synoicus chinensis
400,Ring-necked Francolin,Scleroptila streptophora,,0,0,Scleroptila streptophora,,,,400,Blue Quail,Synoicus adansonii
401,Grey-winged Francolin,Scleroptila afra,,13,3,Scleroptila afra,,,,401,Snow Mountain Quail,Anurophasis monorthonyx
402,Red-winged Francolin,Scleroptila levaillantii,,23,2,Scleroptila levaillantii,,,,402,Madagascar Partridge,Margaroperdix madagarensis
403,Finsch's Francolin,Scleroptila finschi,,0,0,Scleroptila finschi,,,,403,Japanese Quail,Coturnix japonica
404,Shelley's Francolin,Scleroptila shelleyi,,19,1,Scleroptila shelleyi,,,,404,Common Quail,Coturnix coturnix
405,Moorland Francolin,Scleroptila psilolaema,,6,0,Scleroptila psilolaema,,,,405,Harlequin Quail,Coturnix delegorguei
406,Orange River Francolin,Scleroptila gutturalis,,19,12,Scleroptila gutturalis,,,,406,Rain Quail,Coturnix coromandelica
407,Crested Francolin,Dendroperdix sephaena,,68,24,Dendroperdix sephaena,,,,407,Stubble Quail,Coturnix pectoralis
