no.Xeno-Canto,Common name in Xeno-canto,Scientific name in Xeno-canto,Status,No. Recordings,No. Background,matched to eBird/Clements taxa,,,,no.Clements,English name,scientific name
205,Lesser Scaup,Aythya affinis,,9,1,Aythya affinis,,,,205,Lesser Scaup,Aythya affinis
206,Steller's Eider,Polysticta stelleri,,6,0,Polysticta stelleri,,,,206,Steller's Eider,Polysticta stelleri
207,Spectacled Eider,Somateria fischeri,,7,0,Somateria fischeri,,,,207,Spectacled Eider,Somateria fischeri
208,King Eider,Somateria spectabilis,,16,1,Somateria spectabilis,,,,208,King Eider,Somateria spectabilis
209,Common Eider,Somateria mollissima,,103,74,Somateria mollissima,,,,209,Common Eider,Somateria mollissima
210,Harlequin Duck,Histrionicus histrionicus,,32,1,Histrionicus histrionicus,,,,210,Harlequin Duck,Histrionicus histrionicus
211,Labrador Duck,Camptorhynchus labradorius,Extinct,0,0,Camptorhynchus labradorius,,,,211,Labrador Duck,Camptorhynchus labradorius
212,Surf Scoter,Melanitta perspicillata,,20,1,Melanitta perspicillata,,,,212,Surf Scoter,Melanitta perspicillata
213,Velvet Scoter,Melanitta fusca,,21,4,Melanitta fusca,,,,213,Velvet Scoter,Melanitta fusca
214,White-winged Scoter,Melanitta deglandi,,1,0,Melanitta deglandi,,,,214,White-winged Scoter,Melanitta deglandi
215,Common Scoter,Melanitta nigra,,179,13,Melanitta nigra,,,,215,Stejneger's Scoter,Melanitta stejnegeri
216,Black Scoter,Melanitta americana,,26,10,Melanitta americana,,,,216,Common Scoter,Melanitta nigra
217,Long-tailed Duck,Clangula hyemalis,,97,34,Clangula hyemalis,,,,217,Black Scoter,Melanitta americana
218,Bufflehead,Bucephala albeola,,18,0,Bucephala albeola,,,,218,Long-tailed Duck,Clangula hyemalis
219,Common Goldeneye,Bucephala clangula,,138,47,Bucephala clangula,,,,219,Bufflehead,Bucephala albeola
220,Barrow's Goldeneye,Bucephala islandica,,35,1,Bucephala islandica,,,,220,Common Goldeneye,Bucephala clangula
